"CCG_CODE","ONS_CCG_CODE","TOTAL_ALL","TOTAL_MALE","TOTAL_FEMALE","MALE_0-4","MALE_5-9","MALE_10-14","MALE_15-19","MALE_20-24","MALE_25-29","MALE_30-34","MALE_35-39","MALE_40-44","MALE_45-49","MALE_50-54","MALE_55-59","MALE_60-64","MALE_65-69","MALE_70-74","MALE_75-79","MALE_80-84","MALE_85-89","MALE_90-94","MALE_95+","FEMALE_0-4","FEMALE_5-9","FEMALE_10-14","FEMALE_15-19","FEMALE_20-24","FEMALE_25-29","FEMALE_30-34","FEMALE_35-39","FEMALE_40-44","FEMALE_45-49","FEMALE_50-54","FEMALE_55-59","FEMALE_60-64","FEMALE_65-69","FEMALE_70-74","FEMALE_75-79","FEMALE_80-84","FEMALE_85-89","FEMALE_90-94","FEMALE_95+"
"04J","E38000115",291838,144617,147221,6933,7829,7482,7907,8068,8343,8060,7890,9267,11380,11787,10594,9419,9895,7862,5386,3695,1957,725,138,6954,7557,7142,7424,7568,8010,7719,7942,9031,11247,11536,10520,9424,10388,8329,6374,4756,3197,1583,520
"04K","E38000132",364445,188471,175974,11109,11162,9218,12169,24953,20473,16973,14057,11784,11379,10726,8753,6997,6371,4506,3388,2489,1383,484,97,10647,10460,8750,12785,25935,15498,13553,11057,9865,10130,9871,8317,6814,6168,4793,4135,3401,2333,1139,323
"04L","E38000133",150881,74365,76516,4412,4566,4054,3989,4029,4637,4637,4614,4684,5855,5853,5094,4196,4612,3450,2581,1795,894,344,69,4137,4208,3808,3836,4041,4937,4803,4659,4857,5691,5691,4995,4459,4730,3845,3069,2302,1532,688,228
"04M","E38000134",93701,46353,47348,2710,2711,2301,2407,2541,3116,3118,2899,3095,3689,3444,2997,2585,2873,2235,1603,1116,628,237,48,2512,2537,2246,2277,2479,3166,3139,2920,3003,3392,3537,2976,2650,3038,2391,1894,1523,995,485,188
"04N","E38000142",124707,61150,63557,3356,3786,3625,3438,3147,3321,3453,3805,4253,4703,4760,4129,3622,3864,2962,2082,1581,853,337,73,3187,3671,3281,3282,3245,3369,3697,4074,4267,4826,4731,4127,3739,3958,3309,2427,2014,1435,730,188
"04Q","E38000165",132719,65412,67307,3389,3722,3836,3836,3490,3548,3375,3373,3961,4962,5311,4634,4175,4415,3694,2604,1708,936,368,75,3273,3839,3620,3653,3315,3491,3591,3513,4226,5255,5323,4582,4112,4701,3883,2719,1998,1328,677,208
"04R","E38000169",546576,274994,271582,16137,17108,15866,16196,17381,18046,18461,18087,19126,21090,20310,17125,14926,15117,11676,8119,5680,3189,1139,215,15491,16369,14552,15235,16533,17629,17782,17175,17482,19880,19504,16524,14742,15537,12324,9261,7424,4990,2431,717
"04V","E38000201",380937,192131,188806,10427,10901,10464,11814,14682,12727,11883,11587,12353,14246,14031,12243,11098,11585,8810,6017,4030,2270,790,173,9878,10448,9714,10628,12585,11762,11779,11373,12113,13882,13534,12015,10963,11707,9220,6588,4973,3397,1723,524
"04X","E38000013",306987,157430,149557,11061,11902,10443,10090,12080,14117,14084,12939,11429,10712,9045,7760,6186,5058,3811,2954,2143,1132,392,92,10838,11066,9949,9666,13556,13356,12704,10853,9110,9004,7972,6914,5791,5303,4172,3451,2714,1970,893,275
"04Y","E38000028",132006,65789,66217,3680,3712,3591,3831,3947,4322,4065,3657,4323,5385,5297,4417,3734,3953,3249,2261,1363,737,222,43,3559,3628,3329,3562,3730,4180,4112,3713,4203,5170,5084,4269,3846,4102,3460,2578,1735,1194,570,193
"05A","E38000038",496402,252196,244206,15710,16059,14088,15996,22701,19872,19395,17887,16954,17901,16593,14219,11205,10383,8610,6322,4368,2655,1028,250,14833,15333,13277,15349,22989,18908,18343,16207,14859,15712,15015,12567,10781,10862,9357,7353,5711,3898,2103,749
"05C","E38000046",316479,157588,158891,9304,9354,8993,9145,9247,10073,9709,9431,10157,12301,11651,9935,8953,9148,7691,5653,3861,2122,702,158,8886,8934,8599,8545,9022,9975,9983,9208,9740,11561,11204,9646,8911,9415,8176,6499,5102,3460,1525,500
"05D","E38000053",139259,69579,69680,4051,4304,4052,3930,3981,4539,4627,4321,4491,5370,5333,4684,3932,3974,3123,2190,1534,808,280,55,3829,4192,3923,3841,3812,4567,4352,4054,4337,5209,5196,4445,3823,4044,3429,2545,2044,1322,559,157
"05F","E38000078",185266,91684,93582,4719,5121,4939,5005,4674,5173,4989,4884,5326,6494,7018,6592,6089,6547,5348,3845,2749,1512,548,112,4351,4717,4576,4719,4423,5293,5003,4841,5274,6717,6984,6610,6271,6793,5600,4163,3384,2297,1195,371
"05G","E38000126",216081,107849,108232,5305,5786,5563,6253,7291,6661,6381,6134,6780,8201,8096,7278,6593,7176,5685,3985,2686,1396,513,86,5003,5385,5272,5980,7435,6284,6039,5761,6561,7805,7825,7194,6637,7411,5780,4570,3477,2319,1124,370
"05H","E38000195",187896,93799,94097,5435,5532,4976,5196,5433,6134,6020,5609,6137,7191,7227,6255,5585,5830,4661,3113,2011,1065,321,68,5104,5402,4980,4997,5113,6160,5910,5496,5774,6955,6886,6104,5496,5984,4827,3598,2619,1686,777,229
"05J","E38000139",175494,87518,87976,5130,5442,4984,5149,4713,5466,5535,5582,5829,6564,6542,5708,5275,5387,4127,2728,1821,1085,372,79,4874,4971,4681,4809,4614,5591,5583,5549,5605,6290,6375,5759,5502,5409,4279,3023,2344,1654,811,253
"05L","E38000144",571048,293921,277127,20346,20593,18771,18138,20966,25670,25267,23227,21573,21286,18366,15288,12186,9978,8016,6361,4515,2395,790,189,19019,19733,17485,17369,21863,23782,23285,19657,17303,17810,16758,13572,11395,10203,8662,7486,5858,3752,1580,555
"05N","E38000147",305550,151012,154538,7403,8013,8117,9123,7926,8171,7850,7556,8890,11302,11830,10827,9960,10781,8949,6462,4393,2407,854,198,6875,7657,7880,8423,7249,7983,7669,7717,9125,11379,11883,10827,10104,11294,9592,7235,5311,3693,2005,637
"05P","E38000149",245441,120807,124634,7366,7700,7252,7313,6776,7478,7501,7368,7806,9264,9158,7870,6313,6798,5584,3921,2801,1743,658,137,6956,7215,6791,6685,6783,7675,7861,7505,7936,9113,9077,7797,6593,7292,6251,4651,3919,2765,1326,443
"05Q","E38000153",217356,107861,109495,5824,6296,6080,6095,5853,6743,6551,6378,7161,8480,8152,7142,6539,6808,5581,3925,2448,1285,421,99,5548,5999,5581,5729,5733,6519,6460,6372,7036,8127,8181,7356,6752,7083,6047,4451,3205,2058,964,294
"05R","E38000164",279502,140338,139164,7084,7722,7390,7457,6897,9069,9160,9473,9774,10771,10952,9426,8119,8461,7181,5008,3509,1972,737,176,6778,7330,7108,6845,6634,8436,8453,8581,9127,10407,10485,9055,8134,8899,7611,5607,4415,3143,1570,546
"05T","E38000166",304099,150490,153609,7888,8361,8277,8624,8412,8882,8785,8878,9366,11337,11743,10304,9168,9889,7744,5704,4019,2169,773,167,7417,8026,7938,8530,8426,8802,8694,8699,9344,11186,11455,10083,9456,10168,8401,6410,4919,3366,1710,579
"05V","E38000173",147259,73928,73331,3749,4027,3765,3906,4280,4531,4566,4320,4727,5687,5611,5063,4459,4831,4068,2953,1923,1024,364,74,3466,3914,3633,3614,3707,4192,4189,4132,4589,5462,5527,4929,4522,5092,4445,3155,2321,1465,721,256
"05W","E38000175",287146,145434,141712,9398,9469,8208,8038,9387,11160,10754,9718,9587,10577,10064,8973,7743,7523,5861,4206,2751,1465,482,70,8943,9425,7716,7678,9200,10596,9948,8648,8525,9621,9316,8381,7383,7542,6121,4945,3770,2514,1125,315
"05X","E38000183",181520,90851,90669,5693,6039,5366,5712,6066,6031,5971,5739,6114,7002,6687,5620,4929,4783,3733,2625,1609,829,251,52,5331,5705,5230,5396,5959,6005,5904,5557,5826,6742,6526,5526,4905,5109,3986,2908,2062,1221,572,199
"05Y","E38000191",280178,139705,140473,9553,9914,9076,8673,8559,9482,9471,9037,9043,10206,9557,8374,7139,6734,5485,4336,2898,1533,507,128,8974,9367,8574,8255,8638,9883,9802,8671,8431,9601,9202,8151,6936,6985,6001,5019,3965,2497,1167,354
"06A","E38000210",272156,136824,135332,9032,9167,8047,8071,8878,10025,10074,9464,9691,10283,9408,7919,6617,6179,4798,3944,2832,1604,621,170,8471,8821,7676,7692,8716,10150,9892,8955,8477,9401,8844,7660,6577,6239,5207,4622,3720,2593,1204,415
"06D","E38000211",114827,57167,57660,3018,3203,3061,2999,2908,3192,3163,3072,3619,4404,4368,3763,3493,4251,3548,2367,1576,822,283,57,2891,2990,2810,2891,2782,3118,3065,3032,3508,4391,4230,3638,3631,4405,3710,2642,1904,1187,634,201
"06F","E38000010",468095,233665,234430,14855,15311,13862,13525,13102,14647,15381,16014,16213,17965,17968,15470,12369,12507,9416,6691,4641,2600,940,188,14116,14733,12936,12358,12382,15082,16076,16261,15819,17229,17440,14611,12525,13180,10043,7488,5969,3825,1765,592
"06H","E38000026",937196,472587,464609,28311,29317,25660,27279,33219,37335,36723,35235,33179,33423,32130,27670,22911,23277,17953,12649,8872,5093,1945,406,26839,27632,23967,26265,32462,35554,34778,31867,30637,31862,30814,26617,23810,24281,18916,14329,11107,7757,3818,1297
"06K","E38000049",589511,292870,296641,18179,18839,17207,17293,17836,18810,19474,20246,20776,22665,22807,19115,15059,14254,10846,8117,6237,3582,1267,261,17171,18083,16345,16486,17436,19216,20366,20298,20365,21941,21886,18058,14685,15083,12080,9826,8239,5548,2689,840
